"RAW CONSOLIDATED BACKUP  |  5,864 RECORDS  |  All source data preserved",,,,,,,,,,,,,,,,,,,,,,
Company Name,City,Country,Email,Website,Product Category,Certifications,Cert Body,Cert Status,Cert Expiry Date,Notes,Source Sheet,Year First Added,Current Status,Full Address,Products,Primary Contact Name,Last Contact Date,Contract Signed,Account Manager,Latest Quotation,Name_Key,Supplier ID
Trophy Foods Inc. - Calgary,Calgary,Canada,,,Dried Fruits,Food,AIB International Certification Services,Certificated,2027-03-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,trophy foods inc  calgary,SUP-04247
Harry Goesten VOF,Elshout,Netherlands,,,Dried Fruits,Storage and Distribution,DNV Business Assurance Italy S.r.l.,Certificated,2027-03-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,harry goesten vof,SUP-01854
TEVAZU GIDA SAN.TİC.A.Ş.,izimr,Turkey,sales@tevazugida.com,https://www.tevazugida.com/,Dried Fruits,Food,USB Certification,Certificated,2027-01-30 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,tevazu gida santica,SUP-04099
Gramas Gida San A.Ş.,Germencik,Turkey,info@gramasfood.com,https://gramasfood.com/,Dried Fruits,Food,USB Certification,Certificated,2027-03-13 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,gramas gida san a,SUP-01712
"Tianjin C.Y. Foods Co., Ltd.",Tianjin,China,,,Dried Fruits,Food,"ESTS (Extensive Standard Technical Services Co., Ltd.)",Certificated,2027-03-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,tianjin cy foods co ltd,SUP-04191
"Longhai Juli Food Co., Ltd.",Zhangzhou City,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2027-04-04 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,longhai juli food co ltd,SUP-02505
"Minor, Weir and Willis Limited - Altitude",Witton,United Kingdom,,,Dried Fruits,Food,SAI Global Certification Services Pty Ltd,Certificated,2027-04-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,minor weir and willis limited  altitude,SUP-02704
"Mariani Packing Company,Inc.",Vacaville,USA,,,Dried Fruits,Food,"Safe Food Certifications, LLC",Certificated,2027-03-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,mariani packing companyinc,SUP-02601
Taj Food (Pvt.) Ltd.,Punjab,Pakistan,,,Dried Fruits,Food,ISOQAR Limited,Certificated,2027-02-27 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,taj food pvt ltd,SUP-04062
P&B (Foods) Ltd,Bradford,United Kingdom,,,Dried Fruits,Food,Amtivo,Certificated,2027-01-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,pb foods ltd,SUP-03151
THABICO CONSUMER PRODUCTS JSC,TAY NINH PROVINCE,Vietnam,contact@thabico.com,https://thabico.com/,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2026-12-29 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,thabico consumer products jsc,SUP-04105
"Hylife Global Food Co., Ltd.",Chiang Mai,Thailand,hgf@hylife.co.th,https://hylifeglobalfood.co.th/,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2027-02-03 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,hylife global food co ltd,SUP-01985
MWT Foods Pty Ltd,Victoria,Australia,,,Dried Fruits,Agents and Brokers,BSI Assurance UK Ltd,Certificated,2027-01-27 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,mwt foods pty ltd,SUP-02810
"Shandong Richfield Foodstuffs Co., Ltd.",Heze City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2027-02-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,shandong richfield foodstuffs co ltd,SUP-03713
"QINGDAO KINGER FOOD CO., LTD",Qingdao City,China,kinger@kingerfood.com,https://www.kingerfood.com/,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2027-05-08 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,qingdao kinger food co ltd,SUP-03352
DURUKAN ŞEKERLEME SAN. TİC. A.Ş.,Sincan,Turkey,,,Dried Fruits,Food,USB Certification,Certificated,2027-01-19 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,durukan ekerleme san tic a,SUP-01254
"CHUZHOU UNITED FOOD CO.,LTD",Chuzhou,China,,,Dried Fruits,Food,CQC,Certificated,2027-02-14 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,chuzhou united food coltd,SUP-00981
CARIOCA FOOD SRL,Bastia Umbra,Italy,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2027-02-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,carioca food srl,SUP-00884
Liberation Foods CIC,London,United Kingdom,,,Dried Fruits,Agents and Brokers,FoodChain ID Certification Ltd,Certificated,2027-01-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,liberation foods cic,SUP-02450
Saladine srl,,Italy,,,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2027-01-28 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,saladine srl,SUP-03567
"YANTAI MEIJIA FOODSTUFFS CO., LTD",Yantai,China,hyyf216@163.com,http://www.yantaimq.com/,Dried Fruits,Food,Intertek Certification Limited,Certificated,2027-02-05 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,yantai meijia foodstuffs co ltd,SUP-04576
TRANS-NUSS Sp. z o.o.,Rokitno,Poland,"ewa.z@transnuss.pl
biuro@transnuss.pl",https://www.transnuss.pl/,Dried Fruits,Food,TÜV SÜD Management Service GmbH,Certificated,2027-02-15 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,transnuss sp z oo,SUP-04238
Choconut B.V.,Zuidwolde Dr,Netherlands,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2027-01-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,choconut bv,SUP-00971
FEHMİ EROĞLU DIŞ TİCARET A.Ş.,MALATYA,Turkey,info@eroglufoods.com,https://eroglufoods.com/,Dried Fruits,Food,TÜV NORD CERT GmbH,Certificated,2027-01-23 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,fehmi erolu di ticaret a,SUP-01443
Società Italiana Prodotti Alimentari Hygeia S.r.l.,CIVIDATE CAMUNO (BS),Italy,,,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2027-03-20 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,societ italiana prodotti alimentari hygeia srl,SUP-03859
EGETAD GIDA SAN.VE TIC.A.S.,MANISA,Turkey,info@baktat.com.tr,https://www.baktat.com.tr/,Dried Fruits,Food,RINA AGRIFOOD S.p.A.,Certificated,2026-12-30 00:00:00,18.2.26 - Intro email sent,2026_Dried_Fruits,2026,Active,,,,,,,,egetad gida sanve ticas,SUP-01298
TM TURKEY GIDA A.Ş,DÜZCE,Turkey,,,Dried Fruits,Food,KIWA ESPAÑA S.L.U.,Certificated,2026-09-16 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,tm turkey gida a,SUP-04212
"Hebei Huaju Food Co., Ltd","Cangzhou City, Hebei Province",China,sale@hebeifood.cn,http://www.hebeifood.cn/,Dried Fruits,Food,Eurofins Assurance UK Ltd.,Certificated,2027-02-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,hebei huaju food co ltd,SUP-01867
CANAT KURUYEMİŞÇİLİK GIDA SAN. ve TİC. LTD. ŞTİ,BURSA,Turkey,canat@canat.com.tr,https://canat.com.tr/,Dried Fruits,Food,FoodChain ID Certification Ltd,Certificated,2027-01-13 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,canat kuruyemiilik gida san ve tic ltd ti,SUP-00865
"Franjuba Pan, S.L.",Jerez de la Frontera,Spain,,,Dried Fruits,Food,Acerta Certificación S.L.,Certificated,2027-01-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,franjuba pan sl,SUP-01509
VIGRANA Sp. z o.o.,Annopol,Poland,kontakt@vigrana.pl,https://vigrana.pl/,Dried Fruits,Food,CSQA Certificazioni SRL,Certificated,2027-01-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,vigrana sp z oo,SUP-04407
"MISOTA FOOD IMPORT EXPORT CO., LTD.","BATTAMBANG CITY, BATTAMBANG PROVINCE",Cambodia,export@misotagroup.com,https://misotagroup.com/,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2027-01-28 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,misota food import export co ltd,SUP-02711
SIA ALIS Co,Riga,Latvia,,https://www.alis-co.lv/,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2027-03-13 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,sia alis co,SUP-03795
Kenya Nut Company Limited,Nairobi,Kenya,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-12-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,kenya nut company limited,SUP-02287
Ceylon Plant Food (Pvt) Ltd,Dankotuwa,Sri Lanka,info@ceyplalk.com,https://ceylonplantfood.com/,Dried Fruits,Food,Control Union Certifications BV.,Certificated,2026-12-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,ceylon plant food pvt ltd,SUP-00917
"PAPAYIANNIS BROS S.A. ""OLYMPOS""",Larisa,Greece,,,Dried Fruits,Food,TÜV NORD CERT GmbH,Certificated,2027-01-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,papayiannis bros sa olympos,SUP-03124
FGS Ingredients Ltd,Leicester,United Kingdom,,,Dried Fruits,Food,FoodChain ID Certification Ltd,Certificated,2027-02-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,fgs ingredients ltd,SUP-01453
Tropikal Life International (Pvt) Ltd,Sapugaskanda,Sri Lanka,info@tropikal.life,https://tropikal.life/,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2027-01-16 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,tropikal life international pvt ltd,SUP-04252
IMEPA S.r.l.,Nocera Inferiore,Italy,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2027-01-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,imepa srl,SUP-02005
Honeyberry Solutions Ltd,Burnley,United Kingdom,,,Dried Fruits,Food,Amtivo (Formerly UK Food Certification Limited),Certificated,2027-02-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,honeyberry solutions ltd,SUP-01920
Alcopak Weert B.V.,Weert,Netherlands,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2027-03-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,alcopak weert bv,SUP-00294
Wonder Brands Inc. - North York,North York,Canada,,,Dried Fruits,Storage and Distribution,AIB International Certification Services,Certificated,2027-01-21 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,wonder brands inc  north york,SUP-04527
De Risse Industrie B.V.,Weert,Netherlands,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2027-04-10 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,de risse industrie bv,SUP-01143
Petrow Food Group - Phoenix Road,Haverhill,United Kingdom,,,Dried Fruits,Food,Amtivo (Formerly UK Food Certification Limited),Certificated,2027-01-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,petrow food group  phoenix road,SUP-03177
ANNALIFE Gıda San. Paz. Tic. A.Ş,Esenyurt / İstanbul,Turkey,info@annalife.com.tr,https://www.annalife.com.tr/,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2027-02-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,annalife gda san paz tic a,SUP-00421
FlexXray LLC - Aurora,Aurora,USA,,,Dried Fruits,Storage and Distribution,AIB International Certification Services,Certificated,2027-01-14 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,flexxray llc  aurora,SUP-01476
Voicevale Ltd,London,United Kingdom,,,Dried Fruits,Agents and Brokers,"NSF Certification, LLC",Certificated,2027-01-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,voicevale ltd,SUP-04460
"HEZE ZHONGHE FOODSTUFFS CO., LTD.",Heze City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-12-31 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,heze zhonghe foodstuffs co ltd,SUP-01894
